,x,y,z
0,28,-28,32
1,20,-28,32
2,12,-28,32
3,4,-28,32
4,-4,-28,32
5,-12,-28,32
6,-20,-28,32
7,-28,-28,32
8,28,-20,32
9,20,-20,32
10,12,-20,32
11,4,-20,32
12,-4,-20,32
13,-12,-20,32
14,-20,-20,32
15,-28,-20,32
16,28,-12,32
17,20,-12,32
18,12,-12,32
19,4,-12,32
20,-4,-12,32
21,-12,-12,32
22,-20,-12,32
23,-28,-12,32
24,28,-4,32
25,20,-4,32
26,12,-4,32
27,4,-4,32
28,-4,-4,32
29,-12,-4,32
30,-20,-4,32
31,-28,-4,32
32,28,4,32
33,20,4,32
34,12,4,32
35,4,4,32
36,-4,4,32
37,-12,4,32
38,-20,4,32
39,-28,4,32
40,28,12,32
41,20,12,32
42,12,12,32
43,4,12,32
44,-4,12,32
45,-12,12,32
46,-20,12,32
47,-28,12,32
48,28,20,32
49,20,20,32
50,12,20,32
51,4,20,32
52,-4,20,32
53,-12,20,32
54,-20,20,32
55,-28,20,32
56,28,28,32
57,20,28,32
58,12,28,32
59,4,28,32
60,-4,28,32
61,-12,28,32
62,-20,28,32
63,-28,28,32
64,-32,28,28
65,-32,20,28
66,-32,12,28
67,-32,4,28
68,-32,-4,28
69,-32,-12,28
70,-32,-20,28
71,-32,-28,28
72,-32,28,20
73,-32,20,20
74,-32,12,20
75,-32,4,20
76,-32,-4,20
77,-32,-12,20
78,-32,-20,20
79,-32,-28,20
80,-32,28,12
81,-32,20,12
82,-32,12,12
83,-32,4,12
84,-32,-4,12
85,-32,-12,12
86,-32,-20,12
87,-32,-28,12
88,-32,28,4
89,-32,20,4
90,-32,12,4
91,-32,4,4
92,-32,-4,4
93,-32,-12,4
94,-32,-20,4
95,-32,-28,4
96,-32,28,-4
97,-32,20,-4
98,-32,12,-4
99,-32,4,-4
100,-32,-4,-4
101,-32,-12,-4
102,-32,-20,-4
103,-32,-28,-4
104,-32,28,-12
105,-32,20,-12
106,-32,12,-12
107,-32,4,-12
108,-32,-4,-12
109,-32,-12,-12
110,-32,-20,-12
111,-32,-28,-12
112,-32,28,-20
113,-32,20,-20
114,-32,12,-20
115,-32,4,-20
116,-32,-4,-20
117,-32,-12,-20
118,-32,-20,-20
119,-32,-28,-20
120,-32,28,-28
