FaceID,strip,strip_num,x,y,z,xx
7,0,7,0.030549123,0.094021168,-0.995101387,
79,0,79,0.030549126,-0.094021175,-0.995101387,
81,0,81,-0.02274537,-0.291095547,-0.956423562,
82,0,82,0.01352336,-0.413422178,-0.910439027,
87,0,87,0.026891631,-0.801619553,-0.59722938,
88,0,88,-0.009428102,-0.718389689,-0.695577002,
89,0,89,-0.047752107,-0.616040131,-0.786266045,
164,0,164,-0.022745379,0.291095547,-0.956423562,
165,0,165,0.013523353,0.413422149,-0.91043904,
172,0,172,-0.047752128,0.616040106,-0.786266063,
175,0,175,-0.009428109,0.718389651,-0.695577041,
177,0,177,0.026891632,0.801619526,-0.597229416,
186,1,6,-0.009363985,-0.913207209,-0.40738791,
187,1,7,0.048756564,-0.95543504,-0.291147181,
189,1,9,0.036591272,-0.997574814,-0.059207847,
190,1,10,-0.023806654,-0.983374153,-0.180023663,
199,1,19,-0.036591265,-0.997574814,0.059207847,
381,1,201,-0.009364001,0.913207209,-0.40738791,
396,1,216,-0.023806662,0.983374157,-0.180023636,
397,1,217,0.048756545,0.955435041,-0.291147181,
407,2,7,-0.030549123,-0.094021168,0.995101387,
479,2,79,-0.030549126,0.094021175,0.995101387,
481,2,81,0.02274537,0.291095547,0.956423562,
482,2,82,-0.01352336,0.413422178,0.910439027,
487,2,87,-0.026891631,0.801619553,0.59722938,
488,2,88,0.009428102,0.718389689,0.695577002,
489,2,89,0.047752107,0.616040131,0.786266045,
564,2,164,0.022745379,-0.291095547,0.956423562,
565,2,165,-0.013523353,-0.413422149,0.91043904,
572,2,172,0.047752128,-0.616040106,0.786266063,
575,2,175,0.009428109,-0.718389651,0.695577041,
577,2,177,-0.026891632,-0.801619526,0.597229416,
586,3,6,0.009363985,-0.913207209,0.40738791,
587,3,7,-0.048756564,-0.95543504,0.291147181,
589,3,9,-0.036591272,-0.997574814,0.059207847,
590,3,10,0.023806654,-0.983374153,0.180023663,
599,3,19,0.036591265,-0.997574814,-0.059207847,
781,3,201,0.009364001,0.913207209,0.40738791,
796,3,216,0.023806662,0.983374157,0.180023636,
797,3,217,-0.048756545,0.955435041,0.291147181,
