FaceID,strip,strip_num,x,y,z
36,0,36,0.845832284,0,-0.533448917
37,0,37,0.776647413,5.57E-09,-0.629935549
38,0,38,0.688870195,5.58E-09,-0.724884718
39,0,39,0.583661356,3.19E-09,-0.811997181
40,0,40,0.465247694,3.19E-09,-0.885180537
41,0,41,0.340281017,7.96E-10,-0.94032379
42,0,42,0.216100878,-3.99E-10,-0.976371041
43,0,43,0.098860477,1.59E-09,-0.995101304
116,0,116,-0.181447719,7.96E-10,-0.983400592
127,0,127,-0.392928376,-7.20E-09,-0.919569079
131,0,131,-0.607057823,-8.25E-09,-0.794657662
134,0,134,-0.783881734,-5.58E-09,-0.620910161
280,1,100,-0.905917216,-3.19E-09,-0.423454835
285,1,105,-0.982246598,-3.99E-09,-0.187594299
297,1,117,-0.998210688,-6.44E-09,0.059794832
310,1,130,-0.960726091,1.59E-09,0.277498428
436,2,36,-0.845832284,-1.04E-16,0.533448917
437,2,37,-0.776647413,-5.57E-09,0.629935549
438,2,38,-0.688870195,-5.58E-09,0.724884718
439,2,39,-0.583661356,-3.19E-09,0.811997181
440,2,40,-0.465247694,-3.19E-09,0.885180537
441,2,41,-0.340281017,-7.96E-10,0.94032379
442,2,42,-0.216100878,3.99E-10,0.976371041
443,2,43,-0.098860477,-1.59E-09,0.995101304
516,2,116,0.181447719,-7.96E-10,0.983400592
527,2,127,0.392928376,7.20E-09,0.919569079
531,2,131,0.607057823,8.25E-09,0.794657662
534,2,134,0.783881734,5.58E-09,0.620910161
680,3,100,0.905917216,-3.19E-09,0.423454835
685,3,105,0.982246598,-3.99E-09,0.187594299
697,3,117,0.998210688,-6.44E-09,-0.059794832
710,3,130,0.960726091,1.59E-09,-0.277498428
