FaceID,X,Y,Z,U_std,V_std,U_fast,V_fast,U_diff,V_diff,PixelX_std,PixelY_std,PixelX_fast,PixelY_fast,URegion_std,URegion_fast
0,0.150080241,0.807048369,0.571094433,0.7090998150859227,0.7989363523978629,0.7090998150859227,0.7989363523978629,0.0,0.0,226,127,226,127,other,other
1,0.120930998,0.733295712,0.669068825,0.7215407588764127,0.7620188972154113,0.7215407588764127,0.7620188972154113,0.0,0.0,230,121,230,121,other,other
2,0.026891632,0.801619526,0.597229416,0.7428385188413947,0.7960279733209346,0.7428385188413947,0.7960279733209346,0.0,0.0,236,126,236,126,u075,u075
3,-0.106096205,0.781569116,0.614730276,0.7772005632053314,0.785580375224608,0.7772005632053314,0.785580375224608,0.0,0.0,247,124,247,124,other,other
4,-0.009428109,0.718389651,0.695577041,0.7521571129869129,0.7551204810865718,0.7521571129869129,0.7551204810865718,0.0,0.0,239,120,239,120,u075,u075
5,0.087449778,0.640949407,0.762585336,0.7318282215743931,0.7214591714150254,0.7318282215743931,0.7657960100419682,0.0,0.04433683862694282,233,114,233,121,u075,u075
6,0.050977972,0.532480266,0.844905919,0.7404089056791424,0.6787399450080105,0.7404089056791424,0.7002424848125711,0.0,0.021502539804560628,236,107,236,111,u075,u075
7,-0.047752128,0.616040106,0.786266063,0.7596540650616547,0.7112640843356948,0.7596540650616547,0.7489373805877066,0.0,0.03767329625201188,242,113,242,119,u075,u075
8,-0.147509677,0.688518225,0.710058835,0.7825996184246405,0.7417384871747771,0.7825996184246405,0.802201329757769,0.0,0.06046284258299195,249,117,249,127,other,other
9,-0.242236506,0.745513065,0.620912026,0.8092007117608179,0.7677954794625269,0.8092007117608179,0.7677954794625269,0.0,0.0,258,122,258,122,other,other
10,-0.373568953,0.694660422,0.614730132,0.8369079905928402,0.7444453523002486,0.8369079905928402,0.8073900384837368,0.0,0.06294468618348825,266,118,266,128,other,other
11,-0.285370264,0.64372375,0.710058833,0.8108195252344763,0.7226114107440631,0.8108195252344763,0.7677576011085744,0.0,0.045146190364511285,258,114,258,122,other,other
12,-0.18759385,0.577343518,0.794659052,0.7868959603372944,0.6959106441658002,0.7868959603372944,0.7250751312881016,0.0,0.029164487122301463,251,110,251,115,other,other
13,-0.085855107,0.498767918,0.862472878,0.7657911016260416,0.6662139973426336,0.7657911016260416,0.683173234115474,0.0,0.01695923677284039,244,105,244,108,u075,u075
14,0.013523353,0.413422149,0.91043904,0.7476361402414806,0.6356666162568428,0.7476361402414806,0.6445257031832022,0.0,0.008859086926359394,238,101,238,102,u075,u075
15,-0.022745379,0.291095547,0.956423562,0.7537842619259747,0.5940197567158538,0.7537842619259747,0.5968529036684754,0.0,0.0028331469526216013,240,94,240,94,u075,u075
16,-0.121423145,0.373694888,0.919569764,0.7708944889050054,0.6219092882900685,0.7708944889050053,0.6282416699862647,1.1102230246251565e-16,0.00633238169619621,245,98,245,99,other,other
17,-0.223715264,0.453973627,0.862472856,0.7903927117453523,0.6499939722280835,0.7903927117453523,0.6621793952305175,0.0,0.01218542300243397,252,103,252,105,other,other
18,-0.323472944,0.526451439,0.786265945,0.8121179480574984,0.6764778050675166,0.8121179480574984,0.6970991210931483,0.0,0.020621316025631664,259,107,259,110,other,other
19,-0.414637956,0.586726722,0.695576825,0.8355540276041815,0.6995837160554411,0.8355540276041815,0.7306302475211833,0.0,0.03104653146574221,266,111,266,116,other,other
20,-0.492942974,0.632712063,0.597229161,0.8598213782100927,0.7180583235853081,0.8598213782100927,0.7600747013025257,0.0,0.04201637771721767,274,114,274,120,other,other
21,-0.595794789,0.564694641,0.571094154,0.8783684792102194,0.6910060516974296,0.8783684792102194,0.7177970478845377,0.0,0.026790996187108118,280,109,280,114,other,other
22,-0.528861431,0.52216169,0.669068574,0.8564566830599966,0.6748742522150429,0.8564566830599966,0.694887621782937,0.0,0.020013369567894013,273,107,273,110,other,other
23,-0.447494234,0.46713261,0.762585101,0.8344581397777564,0.654712935724678,0.8344581397777564,0.668169044300498,0.0,0.013456108575819914,266,104,266,106,other,other
24,-0.354230608,0.400817826,0.844905762,0.8131835854108187,0.6312739705032725,0.8131835854108187,0.6392601579482162,0.0,0.007986187444943726,259,100,259,101,other,other
25,-0.253947761,0.326514129,0.910438937,0.7932925679345496,0.6058740738832435,0.7932925679345496,0.6099592886557373,0.0,0.004085214772493795,253,96,253,96,other,other
26,-0.152703091,0.248869034,0.956423531,0.7751980872177763,0.580058875206859,0.7751980872177763,0.5817908473126916,0.0,0.0017319721058326465,247,92,247,92,other,other
27,-0.05607114,0.172565925,0.983400747,0.7590648164404992,0.5552057832954708,0.7590648164404992,0.5557660437783413,0.0,0.0005602604828705005,242,88,242,88,u075,u075
28,-0.079979697,0.058108062,0.995101352,0.7627643884696492,0.5185067954304957,0.7627643884696492,0.5185276768394224,0.0,2.088140892664292e-05,243,82,243,82,u075,u075
29,-0.174828621,0.127019037,0.976371404,0.7781993672857813,0.5405409311471931,0.7781993672857813,0.5407615725389641,0.0,0.0002206413917709149,248,85,248,85,other,other
30,-0.275291972,0.200009092,0.940324781,0.7953279432350822,0.564097170587137,0.7953279432350822,0.5649778102525532,0.0,0.000880639665416183,253,89,253,89,other,other
31,-0.37639196,0.273461649,0.885182365,0.81398855015034,0.5881686635794452,0.81398855015034,0.5904949508215118,0.0,0.002326287242066627,259,93,259,93,other,other
32,-0.472190757,0.343062756,0.811999898,0.8338296581514819,0.611464355380484,0.8338296581514819,0.6162555257235129,0.0,0.004791170343028894,265,97,265,97,other,other
33,-0.55730694,0.404902586,0.724888178,0.8543159000289016,0.6326945712314974,0.8543159000289016,0.6409559913371082,0.0,0.008261420105610817,272,100,272,101,other,other
34,-0.628320902,0.456496616,0.629939429,0.8747952757277996,0.6508959474687634,0.8747952757277994,0.6633171616049256,2.220446049250313e-16,0.01242121413616215,279,103,279,105,other,other
35,-0.684293408,0.497162573,0.533452817,0.8946143989677543,0.6656247456551235,0.8946143989677543,0.6823896859760357,0.0,0.016764940320912136,285,105,285,108,other,other
36,-0.721171719,0.392126932,0.57109353,0.893401144991233,0.6282606012637872,0.893401144991233,0.6356847160674489,0.0,0.007424114803661674,284,99,284,101,other,other
37,-0.660036499,0.341613692,0.669067938,0.8739185379287739,0.6109734412957769,0.8739185379287739,0.6156994408405588,0.0,0.0047259995447819225,278,97,278,97,other,other
38,-0.754076058,0.273291023,0.597228027,0.8933910720319402,0.5881122007911135,0.8933910720319402,0.5904339274763876,0.0,0.0023217266852740837,284,93,284,93,other,other
39,-0.776102732,0.140617542,0.614728603,0.8933840836082624,0.544908790612746,0.8933840836082624,0.5452091523411007,0.0,0.0003003617283546811,284,86,284,86,other,other
40,-0.686143529,0.213029758,0.695575575,0.8739135755426415,0.5683331286238555,0.8739135755426415,0.5694025644906455,0.0,0.0010694358667899806,278,90,278,90,other,other
41,-0.582556426,0.281234753,0.762584438,0.853825199430799,0.5907439580046646,0.853825199430799,0.5932848727621858,0.0,0.002540914757521162,272,93,272,94,other,other
42,-0.490666665,0.21302932,0.844905162,0.8337368574467394,0.5683329859502693,0.8337368574467394,0.5694024150345027,0.0,0.0010694290842334642,265,90,265,90,other,other
43,-0.600646395,0.144953921,0.786264757,0.8538252005773341,0.5463033937196747,0.8538252005773341,0.5466327825967532,0.0,0.00032938887707845144,272,86,272,86,other,other
44,-0.700404079,0.072477014,0.710057186,0.8739107707195277,0.5230903955833959,0.8739107707195277,0.5231309826556318,0.0,4.0587072235975796e-05,278,83,278,83,other,other
45,-0.783881734,-5.58e-09,0.620910161,0.8933815840694903,0.49999999822383084,0.8933815840694903,0.49999999822383084,0.0,0.0,284,79,284,79,other,other
46,-0.776102751,-0.140617545,0.61472858,0.8933840884029475,0.45509120846926326,0.8933840884029475,0.45479084672239084,0.0,0.000300361746872424,284,72,284,72,other,other
47,-0.700404079,-0.072477024,0.710057186,0.8739107707195277,0.47690960124187654,0.8739107707195277,0.47686901415287597,0.0,4.058708900056551e-05,278,75,278,75,other,other
48,-0.607057823,-8.25e-09,0.794657662,0.8538251863814404,0.49999999737394346,0.8538251863814404,0.49999999737394346,0.0,0.0,272,79,272,79,other,other
