LED_ID,strip,strip_num,x,y,z,u,v,px,py,r,g,b
0,0,0,0.150080241,0.807048369,0.571094433,0.7090998150859227,0.798936352408254,226,127,0,0,0
1,0,1,0.120930998,0.733295712,0.669068825,0.7215407588764127,0.7620188972328757,230,121,0,0,0
2,0,2,0.026891632,0.801619526,0.597229416,0.7428385188413947,0.7960279732508923,237,127,255,0,0
3,0,3,-0.106096205,0.781569116,0.614730276,0.7772005632053314,0.785580375230881,248,125,0,0,0
4,0,4,-0.009428109,0.718389651,0.695577041,0.7521571129869129,0.7551204810651284,240,120,255,0,0
5,0,5,0.087449778,0.640949407,0.762585336,0.7318282215743931,0.7214591715064769,234,115,255,0,0
6,0,6,0.050977972,0.532480266,0.844905919,0.7404089056791424,0.6787399449349117,236,108,255,0,0
7,0,7,-0.047752128,0.616040106,0.786266063,0.7596540650616547,0.7112640843051428,243,113,255,0,0
8,0,8,-0.147509677,0.688518225,0.710058835,0.7825996184246405,0.74173848719402,250,118,0,0,0
9,0,9,-0.242236506,0.745513065,0.620912026,0.8092007117608179,0.7677954792767057,258,122,0,0,0
10,0,10,-0.373568953,0.694660422,0.614730132,0.8369079905928402,0.7444453522583622,267,119,0,0,0
11,0,11,-0.285370264,0.64372375,0.710058833,0.8108195252344763,0.7226114107722866,259,115,0,0,0
12,0,12,-0.18759385,0.577343518,0.794659052,0.7868959603372944,0.6959106440825198,251,111,0,0,0
13,0,13,-0.085855107,0.498767918,0.862472878,0.7657911016260416,0.6662139974076272,245,106,255,0,0
14,0,14,0.013523353,0.413422149,0.91043904,0.7476361402414806,0.6356666162507918,239,101,255,0,0
15,0,15,-0.022745379,0.291095547,0.956423562,0.7537842619259747,0.5940197567012218,241,95,255,0,0
16,0,16,-0.121423145,0.373694888,0.919569764,0.7708944889050054,0.621909288310718,246,99,0,0,0
17,0,17,-0.223715264,0.453973627,0.862472856,0.7903927117453523,0.6499939722844345,252,103,0,0,0
18,0,18,-0.323472944,0.526451439,0.786265945,0.8121179480574984,0.6764778050075926,259,108,0,0,0
19,0,19,-0.414637956,0.586726722,0.695576825,0.8355540276041815,0.6995837160948563,267,111,0,0,0
20,0,20,-0.492942974,0.632712063,0.597229161,0.8598213782100927,0.7180583237193044,275,114,0,0,0
21,0,21,-0.595794789,0.564694641,0.571094154,0.8783684792102194,0.6910060517961623,281,110,0,0,0
22,0,22,-0.528861431,0.52216169,0.669068574,0.8564566830599966,0.6748742522557176,274,107,0,0,0
23,0,23,-0.447494234,0.46713261,0.762585101,0.8344581397777564,0.6547129358134578,267,104,0,0,0
24,0,24,-0.354230608,0.400817826,0.844905762,0.8131835854108187,0.6312739704993883,260,101,0,0,0
25,0,25,-0.253947761,0.326514129,0.910438937,0.7932925679345496,0.6058740738700062,253,96,0,0,0
26,0,26,-0.152703091,0.248869034,0.956423531,0.7751980872177763,0.5800588752369398,248,92,0,0,0
27,0,27,-0.05607114,0.172565925,0.983400747,0.7590648164404992,0.5552057833069631,242,88,255,0,0
28,0,28,-0.079979697,0.058108062,0.995101352,0.7627643884696492,0.5185067954263625,244,82,255,0,0
29,0,29,-0.174828621,0.127019037,0.976371404,0.7781993672857813,0.5405409311681874,249,86,0,0,0
30,0,30,-0.275291972,0.200009092,0.940324781,0.7953279432350822,0.5640971706031545,254,90,0,0,0
31,0,31,-0.37639196,0.273461649,0.885182365,0.81398855015034,0.5881686635945323,260,94,0,0,0
32,0,32,-0.472190757,0.343062756,0.811999898,0.8338296581514819,0.61146435537482,266,97,0,0,0
33,0,33,-0.55730694,0.404902586,0.724888178,0.8543159000289016,0.6326945712403644,273,101,0,0,0
34,0,34,-0.628320902,0.456496616,0.629939429,0.8747952757277996,0.6508959475110946,279,104,0,0,0
35,0,35,-0.684293408,0.497162573,0.533452817,0.8946143989677543,0.6656247456724023,286,106,0,0,0
36,0,36,-0.721171719,0.392126932,0.57109353,0.893401144991233,0.6282606012022548,285,100,0,0,0
37,0,37,-0.660036499,0.341613692,0.669067938,0.8739185379287739,0.6109734413092918,279,97,0,0,0
38,0,38,-0.754076058,0.273291023,0.597228027,0.8933910720319402,0.5881122008243714,285,94,0,0,0
39,0,39,-0.776102732,0.140617542,0.614728603,0.8933840836082625,0.5449087905920023,285,87,0,0,0
40,0,40,-0.686143529,0.213029758,0.695575575,0.8739135755426415,0.568333128648795,279,90,0,0,0
41,0,41,-0.582556426,0.281234753,0.762584438,0.853825199430799,0.5907439580442473,273,94,0,0,0
42,0,42,-0.490666665,0.21302932,0.844905162,0.8337368574467394,0.5683329859536052,266,90,0,0,0
